TEMPLATE_ID,FILE_NAME,FRAME,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y
61,Ahmed_Lopez/Ahmed_Lopez_0001.jpg,,103.425,115.485,143.088,114.896,123.458,142.161
63,Ahmet_Demir/Ahmet_Demir_0001.jpg,,108.575,111.784,149.948,120.803,127.127,143.824
68,Aileen_Riggin_Soule/Aileen_Riggin_Soule_0001.jpg,,100.509,118.9,149.601,113.931,129.785,150.633
69,Ain_Seppik/Ain_Seppik_0001.jpg,,102.494,107.87,150.72,112.932,120.175,141.509
70,Ainsworth_Dyer/Ainsworth_Dyer_0001.jpg,,101.693,113.505,148.406,113.298,124.033,140.77
73,Aiysha_Smith/Aiysha_Smith_0001.jpg,,108.355,114.845,146.267,114.939,134.506,146.666
75,AJ_Lamas/AJ_Lamas_0001.jpg,,103.442,113.43,148.816,119.363,126.407,141.068
76,Ajit_Agarkar/Ajit_Agarkar_0001.jpg,,103.946,116.431,141.763,115.924,124.935,143.413
82,Al_Cardenas/Al_Cardenas_0001.jpg,,104.126,109.684,148.176,117.049,125.621,144.747
88,Alain_Cervantes/Alain_Cervantes_0001.jpg,,107.117,115.873,149.294,116.079,121.705,146.639
92,Alan_Dreher/Alan_Dreher_0001.jpg,,105.889,117.688,145.158,112.493,134.049,141.953
94,Alan_Greer/Alan_Greer_0001.jpg,,104.676,113.331,147.782,115.582,119.934,144.111
95,Alan_Jackson/Alan_Jackson_0001.jpg,,109.66,115.309,145.264,117.4,125.542,134.893
97,Alan_Stonecipher/Alan_Stonecipher_0001.jpg,,104.868,113.346,146.875,114.368,123.897,148.656
98,Alan_Tang_Kwong-wing/Alan_Tang_Kwong-wing_0001.jpg,,107.552,110.689,146.502,113.235,126.899,140.756
99,Alan_Trammell/Alan_Trammell_0001.jpg,,103.359,112.231,143.685,110.598,124.79,140.702
100,Alan_Zemaitis/Alan_Zemaitis_0001.jpg,,105.2,118.272,150.245,113.566,126.677,144.632
104,Alastair_Johnston/Alastair_Johnston_0001.jpg,,105.142,117.589,146.53,112.76,126.156,137.915
105,Albaro_Recoba/Albaro_Recoba_0001.jpg,,107.781,113,148.248,115.484,126.383,140.457
108,Albert_Montanes/Albert_Montanes_0001.jpg,,103.357,111.547,145.07,115.573,128.173,142.921
109,Albert_Pujols/Albert_Pujols_0001.jpg,,105.335,113.584,149.797,114.276,127.355,141.564
110,Alberta_Lee/Alberta_Lee_0001.jpg,,104.445,116.57,148.14,114.597,126.985,142.726
115,Alberto_Sordi/Alberto_Sordi_0001.jpg,,104.174,111.377,144.886,117.42,121.099,140.43
122,Alejandro_Fernandez/Alejandro_Fernandez_0001.jpg,,104.158,117.514,146.291,113.53,126.623,142.923
124,Alejandro_Lembo/Alejandro_Lembo_0001.jpg,,108.382,118.204,144.739,116.089,126.504,138.688
125,Alejandro_Lerner/Alejandro_Lerner_0001.jpg,,103.789,111.663,144.342,119.896,127.798,144.872
126,Alejandro_Lopez/Alejandro_Lopez_0001.jpg,,107.097,117.379,146.807,110.216,128.786,140.056
130,Aleksander_Voloshin/Aleksander_Voloshin_0001.jpg,,107.661,113.835,149.347,112.821,132.048,149.867
136,Alex_Corretja/Alex_Corretja_0001.jpg,,108.547,113.768,145.384,114.918,128.813,145.305
138,Alex_Gonzalez/Alex_Gonzalez_0001.jpg,,103.418,109.171,152.201,113.961,122.348,136.778
142,Alex_Popov/Alex_Popov_0001.jpg,,104.38,111.17,144.536,118.568,118.398,139.727
144,Alex_Wallau/Alex_Wallau_0001.jpg,,108.235,111.024,152.646,120.426,126.728,146.618
146,Alexa_Loren/Alexa_Loren_0001.jpg,,101.332,114.373,144.394,107.97,118.598,141.261
153,Alexandra_Jackson/Alexandra_Jackson_0001.jpg,,110.403,115.38,148.491,113.761,123.281,142.997
155,Alexandra_Rozovskaya/Alexandra_Rozovskaya_0001.jpg,,104.653,109.02,143.279,116.845,113.3,144.299
156,Alexandra_Spann/Alexandra_Spann_0001.jpg,,101.014,116.056,149.403,113.02,125.246,146.796
162,Alexandre_Vinokourov/Alexandre_Vinokourov_0001.jpg,,104.74,115.572,146.171,115.343,124.767,139.348
167,Alfonso_Soriano/Alfonso_Soriano_0001.jpg,,103.848,117.459,145.409,116.292,124.026,141.316
168,Alfred_Ford/Alfred_Ford_0001.jpg,,108.59,113.405,138.496,114.334,128.864,140.188
172,Alfredo_Pena/Alfredo_Pena_0001.jpg,,98.1224,113.48,140.544,116.242,123.402,143.586
174,Ali_Abdullah_Saleh/Ali_Abdullah_Saleh_0001.jpg,,101.436,117.866,138.846,114.364,129.337,144.899
175,Ali_Adbul_Karim_Madani/Ali_Adbul_Karim_Madani_0001.jpg,,103.47,118.819,146.326,111.832,126.126,142.525
176,Ali_Ahmeti/Ali_Ahmeti_0001.jpg,,106.084,114.516,146.621,118.509,125.27,142.362
177,Ali_Bin_Hussein/Ali_Bin_Hussein_0001.jpg,,106.703,119.224,139.755,110.724,130.994,138.097
179,Ali_Hammoud/Ali_Hammoud_0001.jpg,,104.572,114.4,146.035,112.609,127.005,142.36
184,Alicia_Hollowell/Alicia_Hollowell_0001.jpg,,105.38,110.944,147.569,118.273,122.75,144.467
186,Alicia_Molik/Alicia_Molik_0001.jpg,,107.24,114.405,150.002,118.728,123.294,144.315
190,Alina_Kabaeva/Alina_Kabaeva_0001.jpg,,104.535,118.309,144.559,110.782,129.881,132.641
191,Aline_Chretien/Aline_Chretien_0001.jpg,,102.269,121.266,142.887,112.598,129.122,145.279
192,Alisha_Richman/Alisha_Richman_0001.jpg,,101.77,115.634,146.657,114.463,125.99,146.084
193,Alison_Krauss/Alison_Krauss_0001.jpg,,104.415,114.97,151.171,104.323,131.583,135.381
195,Alistair_MacDonald/Alistair_MacDonald_0001.jpg,,102.994,117.009,144.218,112.431,126.469,138.733
196,Allan_Houston/Allan_Houston_0001.jpg,,,,,,,
197,Allan_Kemakeza/Allan_Kemakeza_0001.jpg,,105.48,116.559,151.061,112.536,122.554,143.275
198,Allan_Wagner/Allan_Wagner_0001.jpg,,106.061,112.102,148.904,109.563,122.336,142.924
200,Allen_Rock/Allen_Rock_0001.jpg,,102.992,117.159,142.503,111.277,124.316,147.618
202,Allison_Searing/Allison_Searing_0001.jpg,,103.496,103.124,150.856,100.679,128.523,133.367
206,Almeida_Baptista/Almeida_Baptista_0001.jpg,,107.995,116.94,147.754,108.024,127.817,146.058
207,Alonzo_Mourning/Alonzo_Mourning_0001.jpg,,104.445,108.225,147.298,115.624,122.164,139.409
212,Alyse_Beaupre/Alyse_Beaupre_0001.jpg,,106.01,116.508,144.444,113.215,129.194,138.983
221,Ambrose_Lee/Ambrose_Lee_0001.jpg,,105.105,111.241,146.615,115.172,122.872,139.97
225,Amporn_Falise/Amporn_Falise_0001.jpg,,98.7801,111.008,144.788,112.891,111.766,140.268
229,Amy_Cotton/Amy_Cotton_0001.jpg,,103.318,111.738,142.996,106.622,128.315,131.856
230,Amy_Gale/Amy_Gale_0001.jpg,,102.735,117.778,142.759,108.717,128.753,142.283
231,Amy_Pascal/Amy_Pascal_0001.jpg,,106.089,118.348,146.987,103.196,137.763,137.066
235,Ana_Claudia_Talancon/Ana_Claudia_Talancon_0001.jpg,,101.1,114.951,142.566,114.001,117.614,145.346
237,Ana_Isabel_Sanchez/Ana_Isabel_Sanchez_0001.jpg,,102.798,112.172,148.173,112.618,126.276,140.603
239,Ana_Paula_Gerard/Ana_Paula_Gerard_0001.jpg,,105.707,108.106,146.648,117.622,124.311,138.409
240,Ana_Sebastiao/Ana_Sebastiao_0001.jpg,,101.61,114.12,149,115.744,122.247,139.539
241,Anastasia_Kelesidou/Anastasia_Kelesidou_0001.jpg,,105.661,111.974,146.652,112.635,127.36,141.497
243,Anatoliy_Kinakh/Anatoliy_Kinakh_0001.jpg,,105.667,110.412,148.613,114.648,128.31,146.38
246,Anderson_Varejao/Anderson_Varejao_0001.jpg,,105.272,116.586,146.773,115.908,125.355,138.565
249,Andre_Lange/Andre_Lange_0001.jpg,,155.506,94.424,196.875,97.9343,167.24,132.714
250,Andre_Smith/Andre_Smith_0001.jpg,,103.454,113.142,143.816,114.517,127.425,143.007
251,Andre_Techine/Andre_Techine_0001.jpg,,101.954,112.227,143.837,112.243,123.335,142.121
254,Andrea_Kiser/Andrea_Kiser_0001.jpg,,106.77,113.259,156.578,113.803,132.005,139.035
257,Andrei_Konchalovsky/Andrei_Konchalovsky_0001.jpg,,102.991,112.641,145.641,115.329,124.908,141.298
259,Andrei_Nikolishin/Andrei_Nikolishin_0001.jpg,,105.33,112.207,147.016,114.634,126.096,140.019
265,Andrew_Caldecott/Andrew_Caldecott_0001.jpg,,104.211,113.238,143.393,114.86,128.41,146.937
269,Andrew_Gilligan/Andrew_Gilligan_0001.jpg,,104.593,112.7,142.455,114.356,127.719,145.477
270,Andrew_Jarecki/Andrew_Jarecki_0001.jpg,,103.586,116.256,142.349,113.448,127.796,139.396
273,Andrew_Sabey/Andrew_Sabey_0001.jpg,,108.138,113.281,144.429,116.925,130.607,142.176
274,Andrew_Shutley/Andrew_Shutley_0001.jpg,,105.895,111.239,146.522,116.241,122.791,140.928
277,Andrzej_Tyszkiewicz/Andrzej_Tyszkiewicz_0001.jpg,,107.545,119.526,147.666,112.595,127.432,149.005
279,Andy_Bryant/Andy_Bryant_0001.jpg,,106.952,114.699,147.045,118.545,127.1,145.172
282,Andy_Graves/Andy_Graves_0001.jpg,,102.137,116.204,144.998,116.412,124.376,146.17
284,Andy_Griggs/Andy_Griggs_0001.jpg,,102.353,114.365,147.357,115.694,124.501,140.163
287,Andy_Madikians/Andy_Madikians_0001.jpg,,103.257,115.424,144.204,113.087,127.002,141.129
288,Andy_North/Andy_North_0001.jpg,,106.884,112.407,145.242,115.536,127.924,142.848
289,Andy_Perez/Andy_Perez_0001.jpg,,103.361,120.046,146.551,113.837,125.203,143.27
293,Andy_Wisecarver/Andy_Wisecarver_0001.jpg,,98.4602,119.762,144.256,111.344,135.751,152.473
294,Anette_Hosoi/Anette_Hosoi_0001.jpg,,110.77,113.928,150.735,116.836,135.742,149.133
295,AnFernce_Negron/AnFernce_Negron_0001.jpg,,102.537,119.104,143.461,112.004,122.663,130.883
297,Angel_Maza/Angel_Maza_0001.jpg,,105.227,112.901,144.855,113.543,125.98,138.402
298,Angela_Alvarado_Rosa/Angela_Alvarado_Rosa_0001.jpg,,100.784,116.7,144.424,114.442,120.969,139.596
303,Angelica_Romero/Angelica_Romero_0001.jpg,,103.489,116.741,152.514,106.431,124.193,144.818
305,Angelo_Genova/Angelo_Genova_0001.jpg,,108.516,110.641,148.213,111.686,127.4,138.804
310,Anil_Ramsook/Anil_Ramsook_0001.jpg,,101.65,108.815,144.884,112,121.32,134.446
312,Anja_Paerson/Anja_Paerson_0001.jpg,,105.233,106.492,151.756,116.756,123.323,138.837
314,Ann_Godbehere/Ann_Godbehere_0001.jpg,,99.6185,119.727,147.898,117.387,128.529,142.333
315,Ann_Landers/Ann_Landers_0001.jpg,,104.783,116.22,146.222,111.059,125.881,138.829
316,Ann_Morgan/Ann_Morgan_0001.jpg,,101.892,117.424,148.151,111.28,127.1,141.952
318,Anna_Chicherova/Anna_Chicherova_0001.jpg,,105.211,115.114,143.189,112.795,129.691,145.158
319,Anna_Faris/Anna_Faris_0001.jpg,,103.917,117.02,149.168,110.953,126.45,145.994
320,Anna_Jones/Anna_Jones_0001.jpg,,104.822,110.434,146.131,118.959,112.566,142.238
323,Anne_Cavers/Anne_Cavers_0001.jpg,,102.198,110.024,149.113,120.412,123.825,138.281
324,Anne_Donovan/Anne_Donovan_0001.jpg,,103.016,111.021,144.6,113.304,128.024,142.481
325,Anne_Heche/Anne_Heche_0001.jpg,,105.317,108.508,151.249,112.42,115.69,149.843
328,Anne_ONeil/Anne_ONeil_0001.jpg,,106.156,119.21,145.635,111.464,130.629,140.328
332,Annie-Jeanne_Reynaud/Annie-Jeanne_Reynaud_0001.jpg,,104.097,114.917,142.17,105.798,129.209,130.926
333,Annie_Chaplin/Annie_Chaplin_0001.jpg,,100.664,111.286,147.551,117.565,124.789,153.495
334,Annie_Machon/Annie_Machon_0001.jpg,,104.125,116.826,145.831,109.505,129.465,137.359
335,Annika_Sorenstam/Annika_Sorenstam_0001.jpg,,106.705,113.169,144.977,121.261,122.399,139.441
336,Antanas_Valionis/Antanas_Valionis_0001.jpg,,105.473,114.124,145.917,117.505,122.647,141.862
337,Anthony_Carter/Anthony_Carter_0001.jpg,,101.61,116.843,149.111,111.963,127.272,142.153
338,Anthony_Corso/Anthony_Corso_0001.jpg,,109.522,114.012,145.026,113.808,134.879,142.736
339,Anthony_Ervin/Anthony_Ervin_0001.jpg,,111.412,113.828,147.096,127.737,126.067,147.59
341,Anthony_Garotinho/Anthony_Garotinho_0001.jpg,,103.918,118.157,139.149,113.137,135.158,140.456
342,Anthony_Hazen/Anthony_Hazen_0001.jpg,,102.883,116.369,145.047,112.591,125.035,141.09
345,Anthony_Lee_Johnson/Anthony_Lee_Johnson_0001.jpg,,98.9533,114.467,151.326,106.596,122.876,142.995
346,Anthony_Mazur/Anthony_Mazur_0001.jpg,,105.517,118.727,143.091,115.349,125.263,140.16
347,Anthony_Pico/Anthony_Pico_0001.jpg,,103.193,115.761,149.799,116.571,127.863,148.17
348,Anthony_Pisciotti/Anthony_Pisciotti_0001.jpg,,104.128,113.414,141.407,110.961,128.846,138.654
349,Anthony_Principi/Anthony_Principi_0001.jpg,,107.365,124.441,142.188,116.693,126.456,140.107
350,Anthony_Rackauckas/Anthony_Rackauckas_0001.jpg,,106.173,118.434,145.19,112.063,129.676,140.707
351,Anthony_Scott_Miller/Anthony_Scott_Miller_0001.jpg,,99.9728,116.585,147.795,113.98,125.083,139.635
352,Antje_Buschschulte/Antje_Buschschulte_0001.jpg,,100.786,113.248,147.168,112.817,125.91,144.103
353,Anton_Balasingham/Anton_Balasingham_0001.jpg,,100.991,113.068,142.475,114.724,126.951,145.252
355,Antonio_Bernardo/Antonio_Bernardo_0001.jpg,,103.923,115.387,145.7,114.94,125.12,144.22
356,Antonio_Cassano/Antonio_Cassano_0001.jpg,,107.026,114.156,145.969,115.256,118.27,139.45
357,Antonio_Catania/Antonio_Catania_0001.jpg,,102.844,109.573,146.799,116.61,118.885,144.264
358,Antonio_Elias_Saca/Antonio_Elias_Saca_0001.jpg,,103.665,119.357,147.397,117.259,123.785,134.797
362,Antwun_Echols/Antwun_Echols_0001.jpg,,101.269,114.716,147.752,117.146,127.903,142.765
364,Anzori_Kikalishvili/Anzori_Kikalishvili_0001.jpg,,105.143,116.263,149.792,113.789,126.511,142.107
365,Aparna_Pillai/Aparna_Pillai_0001.jpg,,106.138,113.746,148.828,119.545,124.572,141.952
366,Aram_Adler/Aram_Adler_0001.jpg,,103.476,117.581,135.778,108.308,127.968,137.831
368,Aretha_Franklin/Aretha_Franklin_0001.jpg,,105.361,115.694,147.63,116.049,125.716,144.134
369,Ari_Bousbib/Ari_Bousbib_0001.jpg,,103.137,118.758,144.557,109.23,127.784,140.903
372,Arie_Haan/Arie_Haan_0001.jpg,,105.463,112.169,146.187,113.989,122.258,138.044
374,Arif_Mardin/Arif_Mardin_0001.jpg,,103.268,116.974,145.658,113.361,125.357,140.288
376,Armand_Sargen/Armand_Sargen_0001.jpg,,104.269,109.775,146.444,118.072,121.541,144.769
377,Armando_Avila_Panchame/Armando_Avila_Panchame_0001.jpg,,105.423,112.271,147.623,113.258,129.262,151.136
378,Armando_Calderon_Sol/Armando_Calderon_Sol_0001.jpg,,100.18,113.282,136.938,112.954,111.014,141.542
379,Armando_Carrillo/Armando_Carrillo_0001.jpg,,102.742,113.461,154.033,123.037,121.715,135.478
382,Arnaud_Lagardere/Arnaud_Lagardere_0001.jpg,,104.755,111.416,148.335,112.296,124.554,143.986
383,Arnie_Boehm/Arnie_Boehm_0001.jpg,,97.786,117.042,139.038,112.861,117.278,142.798
386,Arnold_Scott/Arnold_Scott_0001.jpg,,105.854,115.97,150.124,117.613,127.205,141.554
390,Art_Cooper/Art_Cooper_0001.jpg,,107.203,108.612,149.299,113.943,130.628,136.203
393,Art_Lopez/Art_Lopez_0001.jpg,,102.792,114.545,155.296,116.398,127.676,148.591
394,Arthur_Johnson/Arthur_Johnson_0001.jpg,,105.804,114.588,146.064,117.725,130.263,146.404
395,Arthur_Martinez/Arthur_Martinez_0001.jpg,,103.008,118.223,141.259,116.012,125.456,138.277
396,Artieas_Shanks/Artieas_Shanks_0001.jpg,,105.437,114.528,141.091,115.858,127.472,143.369
400,Ascencion_Barajas/Ascencion_Barajas_0001.jpg,,105.891,112.97,147.808,119.84,130.006,141.315
402,Ashlea_Talbot/Ashlea_Talbot_0001.jpg,,106.032,115.369,148.153,113.705,128.196,143.184
403,Ashley_Judd/Ashley_Judd_0001.jpg,,102.886,110.801,152.05,113.664,121.338,134.123
404,Ashley_Olsen/Ashley_Olsen_0001.jpg,,105.124,122.523,146.367,109.709,127.587,150.794
405,Ashley_Postell/Ashley_Postell_0001.jpg,,105.765,118.879,146.173,116.487,129.37,142.19
406,Ashraf_Alasmar/Ashraf_Alasmar_0001.jpg,,106.257,114.574,145.782,115.449,124.424,139.326
407,Ashraf_Ghani/Ashraf_Ghani_0001.jpg,,102.982,111.677,144.168,118.296,120.795,147.145
409,Asif_Ali_Zardari/Asif_Ali_Zardari_0001.jpg,,102.975,115.433,145.378,112.748,125.337,141.818
410,Asif_Hanif/Asif_Hanif_0001.jpg,,103.841,114.689,144.522,114.775,124.065,136.69
411,Askar_Akayev/Askar_Akayev_0001.jpg,,104.262,116.572,146.005,114.907,123.541,147.586
412,Asmaa_Assad/Asmaa_Assad_0001.jpg,,105.047,112.877,148.748,117.582,121.378,146.671
413,Assad_Ahmadi/Assad_Ahmadi_0001.jpg,,104.417,112.219,141.705,109.047,131.552,143.431
414,Astou_Ndiaye-Diatta/Astou_Ndiaye-Diatta_0001.jpg,,97.8988,118.083,148.323,115.806,125.065,146.133
415,Astrid_Betancourt/Astrid_Betancourt_0001.jpg,,104.041,108.731,143.079,115.987,113.023,141.965
416,Astrid_Eyzaguirre/Astrid_Eyzaguirre_0001.jpg,,105.837,110.919,149.048,118.797,130.299,138.478
418,Ataollah_Mohajerani/Ataollah_Mohajerani_0001.jpg,,106.045,108.619,149.785,118.588,128.008,144.188
419,Atiabet_Ijan_Amabel/Atiabet_Ijan_Amabel_0001.jpg,,102.98,118.12,147.398,114.047,118.352,150.206
420,Atom_Egoyan/Atom_Egoyan_0001.jpg,,108.377,107.384,145.715,122.09,127.823,143.956
421,Atsushi_Sato/Atsushi_Sato_0001.jpg,,120.593,114.303,146.739,117.336,141.697,144.12
422,Audrey_Lacroix/Audrey_Lacroix_0001.jpg,,107.668,113.579,147.171,117.421,129.289,144.871
423,Audrey_Sauret/Audrey_Sauret_0001.jpg,,106.171,112.062,145.58,115.589,122.755,138.366
428,Austin_Kearns/Austin_Kearns_0001.jpg,,106.307,113.906,150.646,115.176,128.347,140.646
429,Avril_Lavigne/Avril_Lavigne_0001.jpg,,102.909,113.806,145.267,107.635,129.198,137.28
430,Azmi_Bishara/Azmi_Bishara_0001.jpg,,104.469,116.833,144.932,113.157,126.289,140.012
432,Babe_Ruth/Babe_Ruth_0001.jpg,,104.865,118.543,146.826,111.331,128.012,142.087
434,Bak_Chang-Ryun/Bak_Chang-Ryun_0001.jpg,,106.448,117.68,143.689,121.032,122.327,145.692
435,Barbara_Bach/Barbara_Bach_0001.jpg,,106.038,108.937,146.521,110.936,117.508,139.421
440,Barbara_De_Brun/Barbara_De_Brun_0001.jpg,,102.136,116.576,149.026,113.903,121.752,146.209
441,Barbara_Esbin/Barbara_Esbin_0001.jpg,,108.168,116.513,147.861,109.85,119.673,138.122
442,Barbara_Felt-Miller/Barbara_Felt-Miller_0001.jpg,,103.081,114.993,144.11,111.76,128.203,139.484
443,Barbara_Roberts/Barbara_Roberts_0001.jpg,,103.796,118.934,143.533,107.848,131.435,134.418
445,Barbora_Strycova/Barbora_Strycova_0001.jpg,,104.015,113.023,143.992,111.75,126.82,137.819
449,Barry_Bonds/Barry_Bonds_0001.jpg,,102.951,114.123,141.84,112.122,127.143,136.862
450,Barry_Collier/Barry_Collier_0001.jpg,,106.501,115.727,142.869,114.704,121.146,145.3
452,Barry_Ford/Barry_Ford_0001.jpg,,106.26,117.589,145.059,116.697,128.29,141.356
454,Barry_Nakell/Barry_Nakell_0001.jpg,,104.628,116.323,152.658,113.761,116.357,144.701
458,Bart_Freundlich/Bart_Freundlich_0001.jpg,,106.138,107.88,145.656,118.068,127.653,145.07
459,Bart_Hendricks/Bart_Hendricks_0001.jpg,,106.13,117.704,144.356,118.896,126.765,142.552
461,Barzan_al-Tikriti/Barzan_al-Tikriti_0001.jpg,,106.999,114.056,145.532,114.879,125.209,145.502
462,Basdeo_Panday/Basdeo_Panday_0001.jpg,,99.0179,114.429,146.354,114.024,124.85,144.249
464,Baz_Luhrmann/Baz_Luhrmann_0001.jpg,,105.772,115.506,149.582,114.722,127.356,146.501
468,Beecher_Ray_Kirby/Beecher_Ray_Kirby_0001.jpg,,98.1516,115.85,139.316,107.63,122.236,139.785
472,Ben_Betts/Ben_Betts_0001.jpg,,99.6831,114.879,148.41,113.888,128.933,141.703
475,Ben_Cahoon/Ben_Cahoon_0001.jpg,,102.886,112.839,148.343,112.151,123.891,140.684
476,Ben_Chandler/Ben_Chandler_0001.jpg,,96.1864,115.077,151.047,115.695,133.61,157.423
477,Ben_Cohen/Ben_Cohen_0001.jpg,,108.691,112.999,149.246,115.772,118.035,144.054
479,Ben_Davis/Ben_Davis_0001.jpg,,103.381,115.549,149.034,110.786,126.232,137.665
485,Ben_Wallace/Ben_Wallace_0001.jpg,,104.767,115.137,150.109,114.625,127.375,145.273
488,Benicio_Del_Toro/Benicio_Del_Toro_0001.jpg,,104.787,120.519,146.102,111.932,128.706,140.067
489,Benito_Santiago/Benito_Santiago_0001.jpg,,106.543,113.181,146.665,112.516,120.832,144.554
491,Benjamin_Franklin/Benjamin_Franklin_0001.jpg,,107.816,116.537,141.933,115.865,130.527,143.875
492,Benjamin_Martinez/Benjamin_Martinez_0001.jpg,,105.573,116.734,144.519,113.349,125.48,141.417
495,Benjamin_Neulander/Benjamin_Neulander_0001.jpg,,104.34,111.247,147.25,114.098,126.706,142.182
497,Bernard_Ebbers/Bernard_Ebbers_0001.jpg,,104.456,112.965,142.711,112.857,122.828,138.341
498,Bernard_Giraudeau/Bernard_Giraudeau_0001.jpg,,105.117,113.355,151.133,114.667,129.305,139.775
509,Beth_Blough/Beth_Blough_0001.jpg,,109.873,114.474,151.05,120.759,121.086,146.098
511,Betsy_Coffin/Betsy_Coffin_0001.jpg,,113.839,113.395,151.232,111.631,138.579,146.904
514,Betty_Garrison/Betty_Garrison_0001.jpg,,106.796,115.217,146.546,116.507,123.201,140.58
520,Bilal_Erdogan/Bilal_Erdogan_0001.jpg,,105.647,115.015,151.414,113.319,125.804,145.93
524,Bill_Butler/Bill_Butler_0001.jpg,,104.209,113.628,145.788,112.918,125.792,139.496
525,Bill_Byrne/Bill_Byrne_0001.jpg,,102.375,112.586,144.995,110.769,124.022,142.234
527,Bill_Carmody/Bill_Carmody_0001.jpg,,102.3,114.694,145.635,121.068,126.222,136.033
529,Bill_Clancy/Bill_Clancy_0001.jpg,,105.603,116.609,145.41,112.117,128.941,145.233
531,Bill_Curry/Bill_Curry_0001.jpg,,101.95,113.858,142.215,113.125,120.76,142.986
532,Bill_Doba/Bill_Doba_0001.jpg,,129.159,115.245,160.069,121.071,147.509,145.593
533,Bill_Duffey/Bill_Duffey_0001.jpg,,102.88,117.803,144.903,110.382,120.842,145.651
534,Bill_Elliott/Bill_Elliott_0001.jpg,,103.278,114.883,145.251,108.664,123.33,143.124
539,Bill_Guerin/Bill_Guerin_0001.jpg,,105.054,114.014,145.959,113.691,128.939,140.722
542,Bill_King/Bill_King_0001.jpg,,103.434,114.329,144.378,109.131,121.349,140.245
543,Bill_Kollar/Bill_Kollar_0001.jpg,,101.974,118.136,140.85,114.819,125.688,143.999
544,Bill_Kong/Bill_Kong_0001.jpg,,103.726,116.707,144.321,111.821,126.346,141.008
545,Bill_Lerach/Bill_Lerach_0001.jpg,,103.349,115.859,145.424,110.532,128.95,140.752
546,Bill_Maher/Bill_Maher_0001.jpg,,114.054,114.026,154.368,110.48,142.62,145.911
547,Bill_Mauldin/Bill_Mauldin_0001.jpg,,103.47,117.492,147.826,114.1,126.44,140.438
550,Bill_OReilly/Bill_OReilly_0001.jpg,,102.221,118.263,144.308,115.372,123.54,146.123
552,Bill_Parsons/Bill_Parsons_0001.jpg,,98.7214,113.417,145.087,115.633,130.277,149.707
554,Bill_Pryor/Bill_Pryor_0001.jpg,,108.737,118.454,150.437,111.718,132.863,141.805
555,Bill_Rainer/Bill_Rainer_0001.jpg,,105.388,114.098,146.677,114.913,125.292,144.053
556,Bill_Readdy/Bill_Readdy_0001.jpg,,102.52,112.325,145.11,115.096,132.082,147.925
557,Bill_Richardson/Bill_Richardson_0001.jpg,,98.8227,120.555,140.774,106.136,132.648,146.167
558,Bill_Self/Bill_Self_0001.jpg,,107.197,108.1,147.193,117.592,123.954,138.054
561,Bill_Stapleton/Bill_Stapleton_0001.jpg,,103.804,121.228,147.475,116.075,128.399,145.221
562,Bill_Stein/Bill_Stein_0001.jpg,,102.175,116.656,143.969,113.592,126.825,142.086
